date	Day.Of.Week	Page.Loads	Unique.Visits	First.Time.Visits	0	1	2	3	4	Returning.Visits
9/14/2014	1	2146	1582	1430	226.6219443	-58.4275018	-4.459626519	-11.38253328	-0.653321623	152
9/15/2014	2	3621	2528	2297	226.583914	-11.79068004	1.088685184	15.94656592	3.565149554	231
9/16/2014	3	3698	2630	2352	227.2882045	45.50496368	6.378538553	5.85867485	-8.501082391	278
9/17/2014	4	3667	2614	2327	227.7560492	65.11449663	1.166119015	-21.73295493	13.9708405	287
9/18/2014	5	3316	2366	2130	228.3255275	31.71693492	-6.030121188	5.465301215	-17.18792334	236
9/19/2014	6	2815	1863	1622	229.6730375	-26.7255228	-3.153236898	21.86139071	15.5436896	241
9/20/2014	7	1658	1118	985	230.7880621	-65.50421641	2.527225081	-21.07291742	-9.463522387	133
9/21/2014	1	2288	1656	1481	232.3714227	-51.96807172	4.176458304	-10.64231517	0.948555391	175
9/22/2014	2	3638	2586	2312	234.1222789	3.253571221	-0.548567399	29.22483244	6.514827743	274
9/23/2014	3	4462	3257	2989	235.5841769	55.91444452	-4.820756109	-6.203299882	-10.25964622	268
9/24/2014	4	4414	3175	2891	237.5653341	65.932633	0.199639864	-26.1287028	9.841618177	284
9/25/2014	5	4315	3029	2743	239.8934669	23.79337791	5.003972067	19.29708252	-7.525305698	286
9/26/2014	6	3323	2249	2033	241.6745968	-40.06102797	-0.957403284	15.37007712	5.293979176	216
9/27/2014	7	1656	1180	1040	244.0348258	-72.68706509	-5.051152257	-23.61377773	-3.3781737	140
9/28/2014	1	2465	1806	1613	246.518417	-47.99246845	-0.565507084	-6.210149481	0.477206103	193
9/29/2014	2	4096	2873	2577	248.7775799	14.98417459	5.188999244	24.1277453	4.025827193	296
9/30/2014	3	4474	3032	2720	251.3616447	68.46565906	4.33618115	-0.467827126	-9.19176301	312
10/1/2014	4	4124	2849	2541	254.2719393	69.57583805	-3.605146349	-24.49868757	13.0423974	308
10/2/2014	5	3514	2489	2239	257.6448899	15.42915246	-8.146748415	7.112808683	-14.35716843	250
10/3/2014	6	3005	2097	1856	262.1433621	-53.03609542	-1.7448903	22.96668558	11.14716364	241
10/4/2014	7	2054	1436	1274	267.0240623	-85.24064931	4.786814094	-17.75103847	-5.497348007	162
10/5/2014	1	2847	1913	1713	272.070741	-54.89775764	3.359657721	-17.01629522	-0.89231328	200
10/6/2014	2	4501	3181	2853	277.6971407	19.19954405	-0.732638424	26.98931029	6.08674919	328
10/7/2014	3	4603	3163	2804	283.4068398	81.66837295	-3.121852351	4.034743066	-10.05856979	359
10/8/2014	4	4187	3014	2663	288.8197313	83.93923557	-2.52730144	-29.95217444	12.95899957	351
10/9/2014	5	4343	2864	2545	294.3812528	23.3809146	1.615211647	12.42034148	-14.01408517	319
10/10/2014	6	3565	2382	2100	299.9588608	-56.3662394	4.173464536	23.62692044	12.52162976	282
10/11/2014	7	2080	1457	1280	305.714996	-95.71365164	1.632444084	-25.60500176	-8.362395575	177
10/12/2014	1	3031	2089	1856	311.7667585	-64.23434161	-3.693770454	-10.68360232	1.571086928	233
10/13/2014	2	4814	3339	2973	317.964016	15.26029926	-5.996580593	31.15227381	6.166842217	366
10/14/2014	3	5040	3604	3217	324.0951272	83.72393688	-1.424846795	-5.610638948	-13.29674442	387
10/15/2014	4	5028	3515	3094	330.0584262	90.12761228	6.219196337	-28.36192317	18.20720938	421
10/16/2014	5	4658	3331	2955	335.3408283	29.05061905	7.235102798	20.57397447	-19.2653418	376
10/17/2014	6	3624	2477	2148	339.8032231	-53.17619596	0.119994901	19.74983216	17.26277029	329
10/18/2014	7	2285	1619	1416	343.5204199	-93.45593393	-5.899958059	-29.45429361	-11.14422678	203
10/19/2014	1	3454	2346	2060	346.9670716	-60.50131883	-3.197681143	-5.302956386	2.378499929	286
10/20/2014	2	5307	3717	3308	349.6799567	18.74839978	2.407005354	31.22337776	7.623440344	409
